date,cpi_u
2022Q1,284.8
2022Q2,291.7
2022Q3,295.5
2022Q4,298.4
2023Q1,301.2
2023Q2,303.5
2023Q3,306.0
2023Q4,308.1
2024Q1,311.0
2024Q2,313.2
2024Q3,314.1
2024Q4,316.2
2025Q1,317.9
2025Q2,319.5
2025Q3,321.5
2025Q4,323.6
2026Q1,325.6
2026Q2,327.5
2026Q3,329.4
2026Q4,331.3
2027Q1,333.2
2027Q2,335.1
2027Q3,337.0
2027Q4,338.9
2028Q1,340.8
2028Q2,342.7
2028Q3,344.6
2028Q4,346.5
2029Q1,348.4
2029Q2,350.4
2029Q3,352.3
2029Q4,354.3
2030Q1,356.2
2030Q2,358.2
2030Q3,360.2
2030Q4,362.2
2031Q1,364.2
2031Q2,366.2
2031Q3,368.2
2031Q4,370.3
2032Q1,372.3
2032Q2,374.4
2032Q3,376.5
2032Q4,378.6
2033Q1,380.7
2033Q2,382.8
2033Q3,384.9
2033Q4,387.1
2034Q1,389.2
2034Q2,391.4
2034Q3,393.6
2034Q4,395.8
2035Q1,398.0
2035Q2,400.2
2035Q3,402.5
2035Q4,404.7
