name,month,year,new_mw,new_tw
rtwa_17_2028_ofw2,7,2022,,
rtwa_17_2028_ofw2,7,2023,10.00, 6.00
rtwa_17_2028_ofw2,7,2024,11.50, 7.40
rtwa_17_2028_ofw2,7,2025,13.00, 8.70
rtwa_17_2028_ofw2,7,2026,14.50,10.10
rtwa_17_2028_ofw2,7,2027,16.00,11.40
rtwa_17_2028_ofw2,7,2028,17.00,12.80
rtwa_17_2028_ofw,7,2022,,
rtwa_17_2028_ofw,10,2023,9.50,6.00
rtwa_17_2028_ofw,10,2024,11.00,8.00
rtwa_17_2028_ofw,10,2025,12.50,10.00
rtwa_17_2028_ofw,10,2026,14.00,12.00
rtwa_17_2028_ofw,10,2027,15.50,13.50
rtwa_17_2028_ofw,10,2028,17.00,15.00
cr_11_2028,1,2022,,
cr_11_2028,1,2024,8.00,2.13
cr_11_2028,1,2025,8.75,2.13
cr_11_2028,1,2026,9.50,2.13
cr_11_2028,1,2027,10.25,2.13
cr_11_2028,1,2028,11.00,2.13
rtwa_17_2029_ofw,7,2023,,
rtwa_17_2029_ofw,10,2024,9.50,6.00
rtwa_17_2029_ofw,10,2025,11.00,8.00
rtwa_17_2029_ofw,10,2026,12.50,10.00
rtwa_17_2029_ofw,10,2027,14.00,12.00
rtwa_17_2029_ofw,10,2028,15.50,13.50
rtwa_17_2029_ofw,10,2029,17.00,15.00
rtwa_17_2030,7,2024,,
rtwa_17_2030,7,2025,9.50,6.00
rtwa_17_2030,7,2025,11.00,8.00
rtwa_17_2030,7,2025,12.50,10.00
rtwa_17_2030,7,2025,14.00,12.00
rtwa_17_2030,7,2025,15.50,13.50
rtwa_17_2030,7,2025,17.00,15.00
