CPI value,Notes,US,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
,Jan-09,$2.13,$6.55,$2.13,$2.63,$4.25,$8.00,$4.22,$5.52,$2.77,$2.23,$4.19,$2.13,$7.00,$4.35,$3.35,$4.80,$2.13,$2.13,$2.13,$2.13,$2.63,$3.28,$3.63,$2.65,$6.55,$3.53,$2.13,$6.90,$2.13,$4.39,$2.13,$3.26,$2.13,$2.13,$6.55,$4.60,$3.65,$2.13,$8.40,$2.83,$2.89,$2.13,$2.13,$2.13,$2.13,$2.13,$2.13,$3.91,$8.55,$2.33,$5.24,$2.13
,Feb-09,$2.13,$6.55,$2.13,$2.63,$4.25,$8.00,$4.22,$5.52,$2.77,$2.23,$4.19,$2.13,$7.00,$4.35,$3.35,$4.80,$2.13,$2.13,$2.13,$2.13,$2.63,$3.28,$3.63,$2.65,$6.55,$3.53,$2.13,$6.90,$2.13,$4.39,$2.13,$3.26,$2.13,$2.13,$6.55,$4.60,$3.65,$2.13,$8.40,$2.83,$2.89,$2.13,$2.13,$2.13,$2.13,$2.13,$2.13,$3.91,$8.55,$2.33,$5.24,$2.13
,Mar-09,$2.13,$6.55,$2.13,$2.63,$4.25,$8.00,$4.22,$5.52,$2.77,$2.23,$4.19,$2.13,$7.00,$4.35,$3.35,$4.80,$2.13,$2.13,$2.13,$2.13,$2.63,$3.28,$3.63,$2.65,$6.55,$3.53,$2.13,$6.90,$2.13,$4.39,$2.13,$3.26,$2.13,$2.13,$6.55,$4.60,$3.65,$2.13,$8.40,$2.83,$2.89,$2.13,$2.13,$2.13,$2.13,$2.13,$2.13,$3.91,$8.55,$2.33,$5.24,$2.13
,Apr-09,$2.13,$6.55,$2.13,$2.63,$4.25,$8.00,$4.22,$5.52,$2.77,$2.23,$4.19,$2.13,$7.00,$4.35,$3.35,$4.80,$2.13,$2.13,$2.13,$2.13,$2.63,$3.28,$3.63,$2.65,$6.55,$3.53,$2.13,$6.90,$2.13,$4.39,$2.13,$3.26,$2.13,$2.13,$6.55,$4.60,$3.65,$2.13,$8.40,$2.83,$2.89,$2.13,$2.13,$2.13,$2.13,$2.13,$2.13,$3.91,$8.55,$2.33,$5.24,$2.13
,May-09,$2.13,$6.55,$2.13,$2.63,$4.25,$8.00,$4.22,$5.52,$2.77,$2.23,$4.19,$2.13,$7.00,$4.35,$3.35,$4.80,$2.13,$2.13,$2.13,$2.13,$2.63,$3.28,$3.63,$2.65,$6.55,$3.53,$2.13,$6.90,$2.13,$4.39,$2.13,$3.26,$2.13,$2.13,$6.55,$4.60,$3.65,$2.13,$8.40,$2.83,$2.89,$2.13,$2.13,$2.13,$2.13,$2.13,$2.13,$3.91,$8.55,$2.33,$5.24,$2.13
,Jun-09,$2.13,$6.55,$2.13,$2.63,$4.25,$8.00,$4.22,$5.52,$2.77,$2.23,$4.19,$2.13,$7.00,$4.35,$3.35,$4.80,$2.13,$2.13,$2.13,$2.13,$2.63,$3.28,$3.63,$2.65,$6.55,$3.53,$2.13,$6.90,$2.13,$4.39,$2.13,$3.26,$2.13,$2.13,$6.55,$4.60,$3.65,$2.13,$8.40,$2.83,$2.89,$2.13,$2.13,$2.13,$2.13,$2.13,$2.13,$3.91,$8.55,$2.33,$5.24,$2.13
,Jul-09,$2.13,$7.25,$2.13,$2.63,$4.25,$8.00,$4.22,$5.52,$2.77,$2.23,$4.23,$2.13,$7.00,$4.35,$3.35,$4.80,$2.13,$2.13,$2.13,$2.13,$2.63,$3.63,$3.63,$2.65,$7.25,$3.63,$2.13,$7.25,$2.13,$4.86,$2.13,$3.26,$2.13,$2.13,$7.25,$4.65,$3.65,$2.13,$8.40,$2.83,$2.89,$2.13,$2.13,$2.13,$2.13,$2.13,$2.13,$3.91,$8.55,$2.33,$5.80,$2.13
,Aug-09,$2.13,$7.25,$2.13,$2.63,$4.25,$8.00,$4.22,$5.52,$2.77,$2.23,$4.23,$2.13,$7.00,$4.35,$3.35,$4.80,$2.13,$2.13,$2.13,$2.13,$2.63,$3.63,$3.63,$2.65,$7.25,$3.63,$2.13,$7.25,$2.13,$4.86,$2.13,$3.26,$2.13,$2.13,$7.25,$4.65,$3.65,$2.13,$8.40,$2.83,$2.89,$2.13,$2.13,$2.13,$2.13,$2.13,$2.13,$3.91,$8.55,$2.33,$5.80,$2.13
,Sep-09,$2.13,$7.25,$2.13,$2.63,$4.25,$8.00,$4.22,$5.52,$2.77,$2.23,$4.23,$2.13,$7.00,$4.35,$3.35,$4.80,$2.13,$2.13,$2.13,$2.13,$2.63,$3.63,$3.63,$2.65,$7.25,$3.63,$2.13,$7.25,$2.13,$4.86,$2.13,$3.26,$2.13,$2.13,$7.25,$4.65,$3.65,$2.13,$8.40,$2.83,$2.89,$2.13,$2.13,$2.13,$2.13,$2.13,$2.13,$3.91,$8.55,$2.33,$5.80,$2.13
,Oct-09,$2.13,$7.25,$2.13,$2.63,$4.25,$8.00,$4.22,$5.52,$2.77,$2.23,$4.23,$2.13,$7.00,$4.35,$3.35,$4.80,$2.13,$2.13,$2.13,$2.13,$2.63,$3.63,$3.75,$2.65,$7.25,$3.63,$2.13,$7.25,$2.13,$4.86,$2.13,$3.26,$2.13,$2.13,$7.25,$4.65,$3.65,$2.13,$8.40,$2.83,$2.89,$2.13,$2.13,$2.13,$2.13,$2.13,$2.13,$3.91,$8.55,$2.33,$5.80,$2.13
