"CPI value",Notes,US,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
,2009/01/01,2.13,6.55,2.13,2.63,4.25,8,4.22,5.52,2.77,2.23,4.1899999999999995,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.275,3.63,2.65,6.55,3.525,2.13,6.9,2.13,4.3885000000000005,2.13,3.2625,2.13,2.13,6.55,4.6,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.24,2.13
,2009/02/01,2.13,6.55,2.13,2.63,4.25,8,4.22,5.52,2.77,2.23,4.1899999999999995,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.275,3.63,2.65,6.55,3.525,2.13,6.9,2.13,4.3885000000000005,2.13,3.2625,2.13,2.13,6.55,4.6,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.24,2.13
,2009/03/01,2.13,6.55,2.13,2.63,4.25,8,4.22,5.52,2.77,2.23,4.1899999999999995,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.275,3.63,2.65,6.55,3.525,2.13,6.9,2.13,4.3885000000000005,2.13,3.2625,2.13,2.13,6.55,4.6,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.24,2.13
,2009/04/01,2.13,6.55,2.13,2.63,4.25,8,4.22,5.52,2.77,2.23,4.1899999999999995,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.275,3.63,2.65,6.55,3.525,2.13,6.9,2.13,4.3885000000000005,2.13,3.2625,2.13,2.13,6.55,4.6,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.24,2.13
,2009/05/01,2.13,6.55,2.13,2.63,4.25,8,4.22,5.52,2.77,2.23,4.1899999999999995,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.275,3.63,2.65,6.55,3.525,2.13,6.9,2.13,4.3885000000000005,2.13,3.2625,2.13,2.13,6.55,4.6,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.24,2.13
,2009/06/01,2.13,6.55,2.13,2.63,4.25,8,4.22,5.52,2.77,2.23,4.1899999999999995,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.275,3.63,2.65,6.55,3.525,2.13,6.9,2.13,4.3885000000000005,2.13,3.2625,2.13,2.13,6.55,4.6,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.24,2.13
,2009/07/01,2.13,7.25,2.13,2.63,4.25,8,4.22,5.52,2.77,2.23,4.23,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.625,3.63,2.65,7.25,3.625,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2009/08/01,2.13,7.25,2.13,2.63,4.25,8,4.22,5.52,2.77,2.23,4.23,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.625,3.63,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2009/09/01,2.13,7.25,2.13,2.63,4.25,8,4.22,5.52,2.77,2.23,4.23,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.625,3.63,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2009/10/01,2.13,7.25,2.13,2.63,4.25,8,4.22,5.52,2.77,2.23,4.23,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
